title,publishedDate,tags,views,likes,comments
#ReGLOSS デビュー振り返り！ライブ開催直前 #BlueJourney を総復習&ミニ歌枠で応援！,2023-09-12,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ReGLOSS', 'Blue Journey', '友人A', 'えーちゃん', 'dev_IS']",110695,9105,81
#ReGLOSS デビュー振り返り！ライブ開催直前 #BlueJourney を総復習&ミニ歌枠で応援！,2023-09-12,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ReGLOSS', 'Blue Journey', '友人A', 'えーちゃん', 'dev_IS']",110695,9105,81
【自信アリ】飯テロなるか？フブみこさんの極上レシピ【#クッキングテスト】,2023-09-11,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'クッキング', '料理', 'テスト', 'グルメ', 'レシピ', 'さくらみこ', '白上フブキ']",605038,22484,1079
【ホロライブ】#ReGLOSS デビュー公式配信同時視聴【DAY2】,2023-09-10,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'DEV_IS', 'ReGLOSS']",459021,17277,72
【アニメ】武器でーす✌(^ ^)✌,2023-09-10,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",820169,61690,2287
【ホロライブ】#ReGLOSS デビュー公式配信同時視聴【DAY1】,2023-09-09,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'DEV_IS', 'ReGLOSS']",333560,12554,41
【ホロライブ】#ReGLOSS デビュー公式配信同時視聴【DAY1】,2023-09-09,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'DEV_IS', 'ReGLOSS']",333560,12554,41
【新ボイス発表】1日の終わりに癒されませんか？,2023-09-08,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ボイス', 'ASMR']",81133,6962,156
【0期生と振り返る】ホロライブプロダクション6周年記念特番【ReGLOSS/情報解禁あり】,2023-09-07,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '6周年', 'ときのそら', 'Tokino Sora', 'ロボ子さん', 'Robocosan', 'AZKi', 'さくらみこ', 'Sakura Miko', '星街すいせい', 'Hoshimachi Suisei', 'ReGloss', 'DEV_IS', 'ホロライブプロダクション']",425566,27493,1056
【0期生と振り返る】ホロライブプロダクション6周年記念特番【ReGLOSS/情報解禁あり】,2023-09-07,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '6周年', 'ときのそら', 'Tokino Sora', 'ロボ子さん', 'Robocosan', 'AZKi', 'さくらみこ', 'Sakura Miko', '星街すいせい', 'Hoshimachi Suisei', 'ReGloss', 'DEV_IS', 'ホロライブプロダクション']",425566,27493,1056
