id,privacyStatus,title,publishedDate,duration,tags,views,likes,comments,topicCategories,liveStreamActualStartTime,liveStreamActualEndTime,liveStreamScheduledStartTime,localizations
Ny4PPmuBx7g,public,【理想の朝の起こし方対決】どっちの勝ち？ #ホロライブ #hololive #不知火フレア #猫又おかゆ,2023-12-01T10:46:10Z,PT27S,[],760479,64877,1363,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
IpZToH702oM,public,【#大神グンマー】VTuber大神ミオのReal群馬レポ#2【知られざる群馬グルメ編】,2023-12-01T09:00:14Z,PT16M52S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '大神ミオ', '群馬', '食レポ', 'グルメ']",77772,6310,199,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",,,,[]
XZJtMLMG_QA,public,【MV】Merry Holy Date♡【#イブはホロライブ】,2023-12-01T03:00:18Z,PT5M46S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",335845,28814,695,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",,,,['en']
v4PXcUhx4aE,public,【ホロのこしかけ 28】年内ラストこしかけ！充実秋のホロイベ溢れる11月NEWS！【友人A・えーちゃん】hololive FM,2023-11-30T14:52:37Z,PT1H31M2S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",80875,6548,23,['https://en.wikipedia.org/wiki/Video_game_culture'],2023-11-30T13:14:19Z,2023-11-30T14:45:20Z,2023-11-30T13:15:00Z,[]
-1VuY4N8cJ8,public,【アニメあるある】四天王編 #ホロライブ #hololive #奴は四天王の中で最弱,2023-11-29T10:24:43Z,PT34S,[],260563,21355,453,['https://en.wikipedia.org/wiki/Video_game_culture'],,,,[]
CMJQF-GqKgY,public,ハードボイルドに憧れるロボ子さん #ホロぐら #鷹嶺ルイ #ロボ子さん #ホロライブ #hololive #昨日の次回予告,2023-11-27T10:00:14Z,PT21S,[],234516,17861,165,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
CQ94JDYHey0,public,【実写あり】おじいちゃん、わたしたちのこと知ってますか？【#わたしら赤羽編】,2023-11-27T09:00:08Z,PT11M12S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ロボ子さん', 'AZKi', '夏色まつり', 'Robocosan', 'Natsuiro Matsuri', 'インタビュー', 'アンケート', '調査', '街頭', '赤羽', '認知度', '高齢者']",119756,8113,321,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",2023-11-27T09:00:08Z,2023-11-27T09:13:17Z,2023-11-27T09:00:00Z,"['en', 'es']"
2xD8H2h7EIY,public,【アニメ】秘密結社の平日ルーティン✰･*:.｡ ｡.:*･ﾟ✽.｡.:*・ﾟ,2023-11-26T09:00:02Z,PT1M32S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",620533,41571,1091,[],,,,"['en', 'ko', 'id', 'es', 'zh-Hans', 'zh-Hant']"
Y2Ov_BtUlAk,public,【重大発表あり】面と向かって言うの恥ずかしいけどさ…【#ねぽらぼT4U】,2023-11-25T12:10:56Z,PT1H8M35S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '雪花ラミィ', '尾丸ポルカ', '桃鈴ねね', '獅白ぼたん', 'T4U', 'Live', '七夕', '5期生']",181846,13707,69,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",2023-11-25T10:58:28Z,2023-11-25T12:06:51Z,2023-11-25T11:00:00Z,[]
D7XANR5cacE,public,【Original animation MV】Tokyo Wabi-Sabi Lullaby／Gawr Gura（hololive × HoneyWorks）【#ホロハニ】,2023-11-25T03:00:09Z,PT3M5S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'Honeyworks', 'Gawr Gura', 'がうる・ぐら', 'ホロハニ', 'OriginalMV', 'アニメーション', 'animation', '兎田ぺこら', '宝鐘マリン']",603375,52986,1224,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",2023-11-25T03:00:09Z,2023-11-25T03:05:10Z,2023-11-25T03:00:00Z,['en']
